"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.590115356E1,3.388790131E0,6.009019470E1,6.225079985E1
1.000000000E-2,1.620494843E1,4.428663254E0,5.902760315E1,6.137158418E1
2.000000000E-2,1.742360687E1,4.317319870E0,6.051213074E1,6.311845446E1
3.000000000E-2,1.574606323E1,3.234560013E0,5.979270935E1,6.191582170E1
4.000000000E-2,1.588945770E1,2.052484512E0,6.039764404E1,6.248650226E1
5.000000000E-2,1.695154572E1,2.375150681E0,6.067961121E1,6.304769194E1
6.000000000E-2,1.454306030E1,3.359224319E0,6.011233521E1,6.193769317E1
7.000000000E-2,1.590637207E1,3.393230438E0,6.069158936E1,6.283307810E1
8.000000000E-2,1.512870789E1,2.178123474E0,5.950711060E1,6.143873563E1
9.000000000E-2,1.679917908E1,2.960103989E0,5.977699280E1,6.216320054E1
1.000000000E-1,1.574083710E1,3.230119705E0,5.919134521E1,6.133370178E1
1.100000000E-1,1.679514313E1,2.219808578E0,6.023178101E1,6.256893659E1
1.200000000E-1,1.588809967E1,3.377689362E0,5.858674622E1,6.079677071E1
1.300000000E-1,1.679441071E1,2.513927460E0,5.977925110E1,6.214443599E1
1.400000000E-1,1.530652618E1,3.972770691E0,6.039773560E1,6.243363770E1
1.500000000E-1,1.651996613E1,3.856983185E0,6.128086853E1,6.358561510E1
1.600000000E-1,1.649851990E1,3.543992996E0,5.917753601E1,6.153650797E1
1.700000000E-1,1.574855042E1,2.499813080E0,6.099922180E1,6.304895690E1
1.800000000E-1,1.588406372E1,2.637393951E0,5.904153442E1,6.119772965E1
1.900000000E-1,1.469309998E1,2.919666290E0,6.056315613E1,6.238836044E1
2.000000000E-1,1.557273102E1,1.738473892E0,5.905094910E1,6.109457285E1
2.100000000E-1,1.726187134E1,3.420574188E0,6.036874390E1,6.288129904E1
2.200000000E-1,1.544499207E1,2.933870316E0,6.025016785E1,6.226747225E1
2.300000000E-1,1.556547546E1,2.027042389E0,5.784669495E1,5.993857726E1
